,index,Unnamed: 0,game_id,team_id,player_id,player_name,nickname,jersey_number,is_starter,starting_position_id,starting_position_name,minutes_played
5392,13,13,3890267,179,23266,Christian Träsch,,15,False,0,Substitute,15
5393,15,15,3890267,184,5681,Makoto Hasebe,,20,True,2,Right Back,95
5394,17,17,3890267,184,7846,Luc Castaignos,,30,True,24,Left Center Forward,85
5395,18,18,3890267,184,8320,Gian-Luca Waldschmidt,Luca Waldschmidt,24,False,0,Substitute,10
5396,19,19,3890267,184,8504,Bastian Oczipka,,6,True,6,Left Back,95
5397,21,21,3890267,184,8678,David Ángel Abraham,David Abraham,19,True,5,Left Center Back,95
5398,22,22,3890267,184,8812,Marco Russ,,4,True,9,Right Defensive Midfield,78
5399,23,23,3890267,184,9134,Aleksandar Ignjovski,,27,False,0,Substitute,50
5400,24,24,3890267,184,21156,Stefan Aigner,,16,True,12,Right Midfield,95
5401,25,25,3890267,184,36359,Carlos Augusto Zambrano Ochandarte,Carlos Zambrano,5,True,3,Right Center Back,95
5402,26,26,3890267,184,400619,Stefan Reinartz,,7,True,11,Left Defensive Midfield,95
5403,27,27,3890267,184,400622,Joel Gerezgiher,,32,False,0,Substitute,17
5404,3,3,3890268,173,8576,Mitchell Weiser,,20,False,0,Substitute,18
5405,12,12,3890268,173,33459,Alexander Baumjohann,,9,False,0,Substitute,11
5406,18,18,3890268,176,8401,Maximilian Eggestein,,35,True,19,Center Attacking Midfield,62
5407,4,4,3890269,174,8270,Daniel Schwaab,,3,False,0,Substitute,38
5408,16,16,3890269,171,8302,Nicolai Müller,,27,False,0,Substitute,16
5409,16,16,3890270,175,6039,Sebastian Rudy,,6,False,0,Substitute,32
5410,6,6,3890271,181,8508,Max Meyer,,7,False,0,Substitute,24
5411,12,12,3890271,181,30312,Uilson de Souza Paula Júnior,Júnior Caiçara,3,True,2,Right Back,97
5412,22,22,3890271,872,13675,Mario Vrančić,,6,True,19,Center Attacking Midfield,50
5413,23,23,3890271,872,20522,György Garics,,13,True,2,Right Back,97
5414,1,1,3890272,172,4279,Konstantinos Stafylidis,,3,True,6,Left Back,92
5415,8,8,3890272,172,12302,Dong-Won Ji,Ji Dong-Won,22,False,0,Substitute,25
5416,20,20,3890272,184,8670,Timothy Chandler,,22,False,0,Substitute,47
5417,0,0,3890273,178,3016,Allan Saint-Maximin,,14,False,0,Substitute,35
5418,14,14,3890273,904,5494,Robbie Kruse,,27,False,0,Substitute,20
5419,9,9,3890274,179,8521,Daniel Caligiuri,,7,False,0,Substitute,29
5420,1,1,3890275,189,3221,Markus Suttner,,29,False,0,Substitute,19
5421,6,6,3890275,189,10483,Ørjan Håskjold Nyland,Ørjan Nyland,26,True,1,Goalkeeper,93
5422,12,12,3890275,189,40463,Stefan Lex,,14,False,0,Substitute,32
5423,21,21,3890275,180,8233,Gonzalo Castro Randon,Gonzalo Castro,27,False,0,Substitute,7
5424,5,5,3890276,185,8545,Julian Korb,,27,True,2,Right Back,93
5425,6,6,3890276,185,8671,Branimir Hrgota,,31,False,0,Substitute,13
5426,16,16,3890276,177,5609,Joo-Ho Park,Park Joo-Ho,24,True,6,Left Back,93
5427,20,20,3890276,177,8539,Danny Latza,,6,False,0,Substitute,30
5428,23,23,3890277,179,10281,André Schürrle,,17,False,0,Substitute,15
5429,13,13,3890278,169,22824,Sebastian Rode,,20,False,0,Substitute,8
5430,27,27,3890278,904,20415,Sebastian Boenisch,,17,False,0,Substitute,13
5431,10,10,3890279,174,10332,Odisseas Vlachodimos,Odysseas Vlachodimos,17,False,0,Substitute,24
5432,13,13,3890279,174,34558,Sereso Geoffroy Gonzaroua Dié,Geoffroy Serey Dié,26,True,11,Left Defensive Midfield,86
5433,24,24,3890279,184,10896,Marc Stendera,,21,True,16,Left Midfield,80
5434,9,9,3890280,171,9407,Gojko Kačar,,40,False,0,Substitute,51
